Stadtverwaltung  Sindelfingen;Hausanschrift  Bußgeldbehörde  Rathausplatz  1  71063  Sindelfingen    Postanschrift  Postfach  1  80  71043  Sindelfingen;Telefon  07031/94-734    Fax  07031/94-213    E-Mail  verkehrswesen@sindelfingen.de    Homepage  www.sindelfingen.de
Landratsamt  Böblingen;Ordnungswidrigkeiten/Bußgeldstelle  Marktplatz  16  71032  Böblingen;Telefon  07031/669-9901    Fax  07031/669-1479    E-Mail  stadt@boeblingen.de    Homepage  www.boeblingen.de  (Stadt)  www.lrabb.de  (Landkreis)
Stadtverwaltung  Überlingen;Verkehr,  Waffen  und  Bußgeld  Fachbereich  1  –  Öffentliche  Ordnung  Christophstraße  1  Torhaus  88662  Überlingen  am  Bodensee    Ansprechpartner  Ingeborg  Bacher  (Bußgeldstelle,  Ordnungswidrigkeitenverfahren);Telefon  07551/99-1045    Fax  07551/99-1499    E-Mail  I.Bacher@ueberlingen.de    Homepage  www.ueberlingen.de
Bürgerdienst  Friedrichshafen;Rechtsamt  Olgastraße  21  88045  Friedrichshafen;Telefon  07541/203-2301    Fax  07541/203-82301    E-Mail  rechtsamt@friedrichshafen.de    Homepage  www.friedrichshafen.de
Landratsamt  Bodenseekreis;Kreispolizei-  und  Straßenverkehrsbehörde  (Rechts-  und  Ordnungsamt)  Glärnischstraße  1-3  88045  Friedrichshafen    Ansprechpartner  Dr.  Michael  Bussek  (Amtsleitung);Telefon  07541/204-5337    Fax  07541/204-7335    E-Mail  dr.michael.bussek@bodenseekreis.de    Homepage  www.bodenseekreis.de
Landratsamt  Biberach;Ordnungsamt  Abt.  Ordnungswidrigkeiten  und  Bußgelder  Rollinstraße  9  88400  Biberach    Ansprechpartner  Rudolf  Butscher  (Abt.  Ordnungswidrigkeiten);Telefon  07351/52-6226    Fax  07351/52-5226    E-Mail  rudolf.butscher@biberach.de    Homepage  www.biberach.de
Stadtverwaltung  Ulm;Abteilung  Verkehr  und  Bußgeld  Olgastraße  66  89073  Ulm    Postanschrift  Postfach  89070  Ulm  ;Telefon  0731/  161-0    Fax  0731/  161-3262    E-Mail  bussgeldstelle@ulm.de    Homepage  www.ulm.de
Landratsamt  Alb-Donau  Kreis;Fachdienst  Ordnung  und  Verkehr  Schillerstraße  30  89077  Ulm    Ansprechpartner  Hans-Dieter  Junger  (Fachdienstleiter);Telefon  0731/185-1456    Fax  0731/185-221456    E-Mail  hans-dieter.junger@alb-donau-kreis.de    Homepage  www.alb-donau-kreis.de
Amt  für  öffentliche  Ordnung  Freiburg  im  Breisgau;Bußgeldbehörde  und  Gemeindevollzugsdienst  Schlossbergring  1  79098  Freiburg  im  Breisgau;Telefon  0761/201-4950    Fax  0761/201-4999    E-Mail  bussgeldbehoerde@stadt.freiburg.de    Homepage  www.freiburg.de
Landratsamt  Breisgau-Hochschwarzwald;Hausanschrift  Ordnungsrecht  und  Ordnungswidrigkeiten  Stadtstraße  3  79104  Freiburg  im  Breisgau    Postanschrift  Landratsamt  Breisgau-Hochschwarzwald  79081  Freiburg  im  Breisgau;Telefon  0761/2187-0    Fax  0761/2187-9999    E-Mail  ordnungsrecht@lkbh.de    Homepage  www.breisgau-hochschwarzwald.de
